100	2
175.8	70.0
184.8	68.3
156.2	60.2
178.0	66.7
174.2	67.8
162.8	60.7
169.0	66.3
174.4	69.1
197.0	80.7
191.4	72.9
162.6	56.0
193.2	71.6
177.1	72.0
171.6	62.6
177.0	70.8
170.6	65.8
171.1	70.0
182.4	64.1
181.9	69.2
181.9	66.2
176.7	76.5
163.5	65.2
177.0	72.1
183.4	67.2
175.4	65.9
179.2	68.0
177.1	71.2
169.9	64.4
174.1	68.9
166.5	57.7
178.2	67.3
164.0	60.4
164.5	58.4
166.3	65.3
151.4	58.9
182.1	70.0
174.3	62.9
166.7	67.4
181.6	70.7
160.0	60.5
171.3	65.8
170.3	64.6
174.2	61.6
174.2	66.0
165.9	61.2
171.8	63.0
170.8	62.1
176.4	66.1
179.7	62.9
179.8	71.9
166.0	65.2
172.5	66.1
163.5	62.6
164.2	60.6
172.0	69.0
182.7	69.7
166.6	61.8
174.6	71.1
170.4	64.7
179.8	67.2
164.4	62.2
172.2	63.5
175.9	64.1
179.7	76.5
182.8	75.1
172.6	67.2
161.6	58.2
166.8	61.4
164.6	62.6
188.5	74.7
167.7	60.4
177.2	61.0
170.7	61.1
178.2	69.4
166.6	65.1
162.2	63.6
162.0	61.8
175.4	67.9
170.8	64.1
170.6	68.1
181.9	65.7
174.0	68.1
173.4	64.0
183.1	69.3
166.4	65.5
176.9	71.0
177.8	64.9
170.3	69.1
173.5	68.6
163.8	62.7
164.0	62.3
172.7	65.6
177.1	67.0
190.1	73.0
167.3	64.4
173.3	69.0
171.4	70.4
158.5	62.2
168.9	64.2
159.4	63.1
